ID,Project,Name,Description,State,State Group,Priority,Assignee,Labels,Cycle Name,Module Name,Estimate Point,Start Date,Target Date,Created At,URL,Parent
EV27-11,EV27,[ELEC] Tractive system indicator lights build,See requirements doc. Blocked by EV27-6.,Blocked,started,medium,,fab,Cycle 5 - Fabrication,Electrical,M,,2026-11-21,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-11,EV27-101
EV27-12,EV27,[ELEC] Shutdown loop bench test rig,"See requirements doc. Blocked by EV27-2, EV27-3, EV27-4.",Backlog,backlog,high,,test,Cycle 6 - Testing,Electrical,L,,2026-12-05,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-12,
EV27-13,EV27,[PWT] Battery sizing calculations workbook,See requirements doc.,Done,completed,urgent,Aidan,analysis,Cycle 1 - Design,Powertrain,XXL,,2026-09-05,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-13,
EV27-14,EV27,[PWT] Cell selection: Molicel P45B vs VTC6,See requirements doc. Blocked by EV27-13.,Review,started,urgent,Aidan,analysis;procurement,Cycle 2 - Design,Powertrain,L,,2026-09-19,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-14,
EV27-15,EV27,[PWT] Accumulator container design,See requirements doc. Blocked by EV27-14.,In Progress,started,urgent,Megan,design;hv,Cycle 3 - Design,Powertrain,XL,,2026-10-10,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-15,EV27-100
EV27-16,EV27,[PWT] Segment layout and one-cell-failure redundancy,See requirements doc. Blocked by EV27-14.,In Progress,started,high,Megan,design;rules,Cycle 3 - Design,Powertrain,L,,2026-10-10,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-16,EV27-100
EV27-17,EV27,[PWT] Accumulator thermal management study,See requirements doc. Blocked by EV27-15.,Ready,unstarted,high,,analysis;thermal,Cycle 3 - Design,Powertrain,L,,2026-10-17,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-17,EV27-100
EV27-18,EV27,[PWT] Cell interconnect method selection,See requirements doc. Blocked by EV27-16.,Ready,unstarted,high,Aidan,design,Cycle 3 - Design,Powertrain,M,,2026-10-17,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-18,EV27-100
EV27-19,EV27,[PWT] Purchase order: Enepaq modules,"See requirements doc. Blocked by EV27-14, EV27-16.",Backlog,backlog,urgent,Megan,procurement,Cycle 4 - Procurement,Powertrain,M,,2027-02-01,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-19,EV27-100
EV27-20,EV27,[PWT] EMRAX 228 MV cooling loop layout,See requirements doc. Blocked by EV27-13.,Blocked,started,medium,,design;thermal,Cycle 3 - Design,Powertrain,L,,2026-10-24,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-20,
EV27-21,EV27,[PWT] Accumulator assembly and pack build,"See requirements doc. Blocked by EV27-19, EV27-18, EV27-9.",Backlog,backlog,urgent,,fab;hv,Cycle 6 - Fabrication,Powertrain,XL,,2026-12-19,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-21,EV27-100
EV27-22,EV27,[DRV] 4:1 chain drive ratio confirmation,See requirements doc. Blocked by EV27-13.,Done,completed,high,,analysis,Cycle 1 - Design,Drivetrain,L,,2026-09-05,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-22,
EV27-23,EV27,[DRV] Sprocket and chain procurement,See requirements doc. Blocked by EV27-22.,Ready,unstarted,medium,,procurement,Cycle 3 - Procurement,Drivetrain,S,,2026-10-10,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-23,
EV27-24,EV27,[DRV] Motor mount design,See requirements doc. Blocked by EV27-22.,In Progress,started,high,,design,Cycle 3 - Design,Drivetrain,L,,2026-10-17,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-24,
EV27-25,EV27,[DRV] Driveline assembly,"See requirements doc. Blocked by EV27-23, EV27-24.",Backlog,backlog,high,,fab,Cycle 6 - Fabrication,Drivetrain,L,,2027-01-09,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-25,
EV27-26,EV27,[STR] Accumulator mounting structure,See requirements doc. Blocked by EV27-15.,Backlog,backlog,urgent,,design;rules,Cycle 4 - Design,Structural & Aero,XL,,2026-11-07,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-26,
EV27-27,EV27,[STR] Chassis nodes for HV routing,See requirements doc. Blocked by EV27-6.,Ready,unstarted,medium,,design,Cycle 3 - Design,Structural & Aero,M,,2026-10-24,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-27,
EV27-28,EV27,[STR] Firewall design and material selection,See requirements doc. Blocked by EV27-1.,In Progress,started,high,,design;rules,Cycle 3 - Design,Structural & Aero,M,,2026-10-17,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-28,
EV27-29,EV27,[STR] Impact attenuator test article,See requirements doc.,Dropped,cancelled,low,,test,Cycle 4 - Testing,Structural & Aero,M,,2026-11-14,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-29,
EV27-30,EV27,[VD] OptimumLap model calibration,See requirements doc.,Done,completed,high,,analysis,Cycle 1 - Design,Vehicle Dynamics,L,,2026-09-05,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-30,
EV27-31,EV27,[VD] Mass budget vs 190 lb driver,"See requirements doc. Blocked by EV27-30, EV27-13.",In Progress,started,high,Aidan,analysis,Cycle 2 - Design,Vehicle Dynamics,L,,2026-09-26,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-31,
EV27-32,EV27,[VD] Steering angle sensor equations,See requirements doc. Blocked by EV27-30.,Ready,unstarted,medium,,analysis;daq,Cycle 3 - Design,Vehicle Dynamics,M,,2026-10-17,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-32,
EV27-33,EV27,[VD] Suspension pickup point revision,See requirements doc. Blocked by EV27-31.,Backlog,backlog,medium,,design,Cycle 4 - Design,Vehicle Dynamics,L,,2026-11-07,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-33,
EV27-34,EV27,[INT] DL1 CLUB configuration and CAN map,See requirements doc. Blocked by EV27-1.,In Progress,started,high,Aidan,daq,Cycle 2 - Design,Integration & DAQ,L,,2026-09-26,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-34,
EV27-35,EV27,[INT] APEX telemetry board schematic (ESP32 + SX1262),See requirements doc. Blocked by EV27-34.,Ready,unstarted,medium,Aidan,pcb;daq,Cycle 3 - Design,Integration & DAQ,XL,,2026-10-24,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-35,
EV27-36,EV27,[INT] Optoisolated shutdown-loop telemetry taps,"See requirements doc. Blocked by EV27-2, EV27-34.",Backlog,backlog,high,,daq;rules,Cycle 4 - Design,Integration & DAQ,M,,2026-11-07,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-36,
EV27-37,EV27,[INT] Wheel speed Hall sensor integration,"See requirements doc. Blocked by EV27-34, EV27-32.",Backlog,backlog,medium,,daq,Cycle 4 - Design,Integration & DAQ,M,,2026-11-14,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-37,
EV27-38,EV27,[INT] Full vehicle wiring integration check,"See requirements doc. Blocked by EV27-12, EV27-21, EV27-25, EV27-36.",Backlog,backlog,urgent,,test,Cycle 7 - Testing,Integration & DAQ,XXL,,2027-01-23,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-38,
EV27-100,EV27,[PWT] Accumulator — complete,Rollup item.,Backlog,backlog,high,Aidan,rollup,,Powertrain,XXL,,2026-12-31,2026-08-01,,
EV27-101,EV27,[ELEC] Tractive system — complete,Rollup item.,Backlog,backlog,high,Aidan,rollup,,Electrical,XXL,,2026-12-12,2026-08-01,,
